Starting training for 20000 steps...
Output directory: ./outputs_olmoearth
W&B logging enabled - Project: alpha-earth-foundations, Run: first-2026-02-08
Training:   0%|                                                                                                         | 0/20000 [00:00<?, ?step/s]/root/alphaearth-foundations/src/alphaearth/training.py:165: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  self.loss_history['total'].append(float(loss))
Training:   2%|▉                                                        | 319/20000 [28:32<39:47,  8.24step/s, recon_loss=0.1320, total_loss=0.1753]

step 00020/20000 (0.1%) | total 0.2635 | recon 0.2136 | uni 0.9986 | cons 0.0001 | clip 0.0000 | ETA: 390.42h (0.01 steps/s)
step 00340/20000 (1.7%) | total 0.1951 | recon 0.1453 | uni 0.8701 | cons 0.3154 | clip 0.0000 | ETA: 27.55h (0.20 steps/s)

step 00360/20000 (1.8%) | total 0.2185 | recon 0.1798 | uni 0.7729 | cons -0.0000 | clip 0.0000 | ETA: 26.03h (0.21 steps/s)

step 00380/20000 (1.9%) | total 0.1559 | recon 0.1081 | uni 0.9571 | cons -0.0000 | clip 0.0000 | ETA: 24.68h (0.22 steps/s)

step 00400/20000 (2.0%) | total 0.1336 | recon 0.0924 | uni 0.8225 | cons -0.0000 | clip 0.0000 | ETA: 23.46h (0.23 steps/s)

step 00420/20000 (2.1%) | total 0.1748 | recon 0.1307 | uni 0.8809 | cons -0.0000 | clip 0.0000 | ETA: 22.35h (0.24 steps/s)

step 00440/20000 (2.2%) | total 0.1318 | recon 0.0871 | uni 0.8931 | cons -0.0000 | clip 0.0000 | ETA: 21.35h (0.25 steps/s)

step 00460/20000 (2.3%) | total 0.1359 | recon 0.0960 | uni 0.7985 | cons -0.0000 | clip 0.0000 | ETA: 20.43h (0.27 steps/s)

step 00480/20000 (2.4%) | total 0.1542 | recon 0.1074 | uni 0.8510 | cons 0.2132 | clip 0.0000 | ETA: 19.59h (0.28 steps/s)

step 00500/20000 (2.5%) | total 0.1630 | recon 0.1268 | uni 0.7240 | cons -0.0000 | clip 0.0000 | ETA: 18.81h (0.29 steps/s)

step 00520/20000 (2.6%) | total 0.1669 | recon 0.1331 | uni 0.6765 | cons -0.0000 | clip 0.0000 | ETA: 18.10h (0.30 steps/s)

step 00540/20000 (2.7%) | total 0.1609 | recon 0.1298 | uni 0.6217 | cons -0.0000 | clip 0.0000 | ETA: 17.44h (0.31 steps/s)

step 00560/20000 (2.8%) | total 0.1822 | recon 0.1546 | uni 0.5506 | cons -0.0000 | clip 0.0000 | ETA: 16.83h (0.32 steps/s)

step 00580/20000 (2.9%) | total 0.1615 | recon 0.1266 | uni 0.6309 | cons 0.1672 | clip 0.0000 | ETA: 16.26h (0.33 steps/s)

step 00600/20000 (3.0%) | total 0.2056 | recon 0.1737 | uni 0.6386 | cons -0.0000 | clip 0.0000 | ETA: 15.72h (0.34 steps/s)

step 00620/20000 (3.1%) | total 0.1418 | recon 0.1094 | uni 0.6471 | cons -0.0000 | clip 0.0000 | ETA: 15.23h (0.35 steps/s)

step 00640/20000 (3.2%) | total 0.1976 | recon 0.1622 | uni 0.7077 | cons -0.0000 | clip 0.0000 | ETA: 14.76h (0.36 steps/s)

step 00660/20000 (3.3%) | total 0.1211 | recon 0.0839 | uni 0.6309 | cons 0.2852 | clip 0.0000 | ETA: 14.32h (0.38 steps/s)

step 00680/20000 (3.4%) | total 0.0976 | recon 0.0671 | uni 0.5636 | cons 0.1161 | clip 0.0000 | ETA: 13.90h (0.39 steps/s)

step 00700/20000 (3.5%) | total 0.1467 | recon 0.1180 | uni 0.5725 | cons -0.0000 | clip 0.0000 | ETA: 13.51h (0.40 steps/s)

step 00720/20000 (3.6%) | total 0.1554 | recon 0.1161 | uni 0.6092 | cons 0.4409 | clip 0.0000 | ETA: 13.14h (0.41 steps/s)

step 00740/20000 (3.7%) | total 0.1365 | recon 0.1042 | uni 0.6467 | cons -0.0000 | clip 0.0000 | ETA: 12.79h (0.42 steps/s)

step 00760/20000 (3.8%) | total 0.1582 | recon 0.1240 | uni 0.6651 | cons 0.0476 | clip 0.0000 | ETA: 12.46h (0.43 steps/s)

step 00780/20000 (3.9%) | total 0.1671 | recon 0.1390 | uni 0.5624 | cons -0.0000 | clip 0.0000 | ETA: 12.15h (0.44 steps/s)

step 00800/20000 (4.0%) | total 0.1606 | recon 0.1365 | uni 0.4818 | cons -0.0000 | clip 0.0000 | ETA: 11.85h (0.45 steps/s)

step 00820/20000 (4.1%) | total 0.1230 | recon 0.1005 | uni 0.4495 | cons -0.0000 | clip 0.0000 | ETA: 11.57h (0.46 steps/s)

step 00840/20000 (4.2%) | total 0.1324 | recon 0.1104 | uni 0.4408 | cons -0.0000 | clip 0.0000 | ETA: 11.29h (0.47 steps/s)

step 00860/20000 (4.3%) | total 0.1234 | recon 0.1001 | uni 0.4660 | cons -0.0000 | clip 0.0000 | ETA: 11.04h (0.48 steps/s)

step 00880/20000 (4.4%) | total 0.1141 | recon 0.0879 | uni 0.5257 | cons -0.0000 | clip 0.0000 | ETA: 10.79h (0.49 steps/s)

step 00900/20000 (4.5%) | total 0.1716 | recon 0.1513 | uni 0.4051 | cons -0.0000 | clip 0.0000 | ETA: 10.56h (0.50 steps/s)

step 00920/20000 (4.6%) | total 0.1126 | recon 0.0917 | uni 0.4191 | cons -0.0000 | clip 0.0000 | ETA: 10.33h (0.51 steps/s)

step 00940/20000 (4.7%) | total 0.1568 | recon 0.1355 | uni 0.4273 | cons -0.0000 | clip 0.0000 | ETA: 10.12h (0.52 steps/s)

step 00960/20000 (4.8%) | total 0.1090 | recon 0.0771 | uni 0.4780 | cons 0.4017 | clip 0.0000 | ETA: 9.91h (0.53 steps/s)

step 00980/20000 (4.9%) | total 0.1993 | recon 0.1759 | uni 0.4688 | cons -0.0000 | clip 0.0000 | ETA: 9.71h (0.54 steps/s)

step 01000/20000 (5.0%) | total 0.1458 | recon 0.1260 | uni 0.3970 | cons -0.0000 | clip 0.0000 | ETA: 9.52h (0.55 steps/s)

step 01020/20000 (5.1%) | total 0.1313 | recon 0.1135 | uni 0.3565 | cons -0.0000 | clip 0.0000 | ETA: 9.37h (0.56 steps/s)

step 01040/20000 (5.2%) | total 0.1722 | recon 0.1517 | uni 0.4101 | cons -0.0000 | clip 0.0000 | ETA: 9.20h (0.57 steps/s)

step 01060/20000 (5.3%) | total 0.1031 | recon 0.0872 | uni 0.2981 | cons 0.0500 | clip 0.0000 | ETA: 9.03h (0.58 steps/s)

step 01080/20000 (5.4%) | total 0.1287 | recon 0.1111 | uni 0.3082 | cons 0.1122 | clip 0.0000 | ETA: 8.86h (0.59 steps/s)

step 01100/20000 (5.5%) | total 0.1550 | recon 0.1243 | uni 0.4861 | cons 0.3211 | clip 0.0000 | ETA: 8.71h (0.60 steps/s)

step 01120/20000 (5.6%) | total 0.0988 | recon 0.0837 | uni 0.3026 | cons 0.0019 | clip 0.0000 | ETA: 8.55h (0.61 steps/s)

step 01140/20000 (5.7%) | total 0.1158 | recon 0.0961 | uni 0.3053 | cons 0.2258 | clip 0.0000 | ETA: 8.41h (0.62 steps/s)

step 01160/20000 (5.8%) | total 0.1486 | recon 0.1307 | uni 0.3296 | cons 0.0741 | clip 0.0000 | ETA: 8.27h (0.63 steps/s)

step 01180/20000 (5.9%) | total 0.1416 | recon 0.1266 | uni 0.3002 | cons -0.0000 | clip 0.0000 | ETA: 8.13h (0.64 steps/s)

step 01200/20000 (6.0%) | total 0.1009 | recon 0.0857 | uni 0.3055 | cons -0.0000 | clip 0.0000 | ETA: 8.00h (0.65 steps/s)

step 01220/20000 (6.1%) | total 0.1421 | recon 0.1213 | uni 0.4166 | cons -0.0000 | clip 0.0000 | ETA: 7.87h (0.66 steps/s)

step 01240/20000 (6.2%) | total 0.1241 | recon 0.1095 | uni 0.2920 | cons -0.0000 | clip 0.0000 | ETA: 7.75h (0.67 steps/s)

step 01260/20000 (6.3%) | total 0.0864 | recon 0.0703 | uni 0.2838 | cons 0.0965 | clip 0.0000 | ETA: 7.63h (0.68 steps/s)

step 01280/20000 (6.4%) | total 0.1571 | recon 0.1403 | uni 0.3017 | cons 0.0864 | clip 0.0000 | ETA: 7.51h (0.69 steps/s)

step 01300/20000 (6.5%) | total 0.1118 | recon 0.0896 | uni 0.3508 | cons 0.2366 | clip 0.0000 | ETA: 7.40h (0.70 steps/s)

step 01320/20000 (6.6%) | total 0.1722 | recon 0.1576 | uni 0.2908 | cons -0.0000 | clip 0.0000 | ETA: 7.29h (0.71 steps/s)

step 01340/20000 (6.7%) | total 0.1425 | recon 0.1279 | uni 0.2930 | cons -0.0000 | clip 0.0000 | ETA: 7.18h (0.72 steps/s)

step 01360/20000 (6.8%) | total 0.1070 | recon 0.0948 | uni 0.2427 | cons -0.0000 | clip 0.0000 | ETA: 7.08h (0.73 steps/s)

step 01380/20000 (6.9%) | total 0.1676 | recon 0.1563 | uni 0.2255 | cons -0.0000 | clip 0.0000 | ETA: 6.98h (0.74 steps/s)

step 01400/20000 (7.0%) | total 0.1254 | recon 0.1101 | uni 0.3067 | cons -0.0000 | clip 0.0000 | ETA: 6.88h (0.75 steps/s)

step 01420/20000 (7.1%) | total 0.1130 | recon 0.0997 | uni 0.1827 | cons 0.2110 | clip 0.0000 | ETA: 6.79h (0.76 steps/s)

step 01440/20000 (7.2%) | total 0.1089 | recon 0.1047 | uni 0.0613 | cons 0.0553 | clip 0.0000 | ETA: 6.69h (0.77 steps/s)

step 01460/20000 (7.3%) | total 0.0824 | recon 0.0760 | uni 0.1288 | cons -0.0000 | clip 0.0000 | ETA: 6.60h (0.78 steps/s)

step 01480/20000 (7.4%) | total 0.0825 | recon 0.0786 | uni 0.0674 | cons 0.0305 | clip 0.0000 | ETA: 6.52h (0.79 steps/s)

step 01500/20000 (7.5%) | total 0.1002 | recon 0.0887 | uni 0.1530 | cons 0.1919 | clip 0.0000 | ETA: 6.43h (0.80 steps/s)

step 01520/20000 (7.6%) | total 0.0806 | recon 0.0776 | uni 0.0595 | cons -0.0000 | clip 0.0000 | ETA: 6.35h (0.81 steps/s)

step 01540/20000 (7.7%) | total 0.0789 | recon 0.0749 | uni 0.0558 | cons 0.0597 | clip 0.0000 | ETA: 6.27h (0.82 steps/s)

step 01560/20000 (7.8%) | total 0.0978 | recon 0.0941 | uni 0.0739 | cons -0.0000 | clip 0.0000 | ETA: 6.19h (0.83 steps/s)

step 01580/20000 (7.9%) | total 0.0809 | recon 0.0701 | uni 0.1695 | cons 0.1136 | clip 0.0000 | ETA: 6.12h (0.84 steps/s)

step 01600/20000 (8.0%) | total 0.1109 | recon 0.1045 | uni 0.0922 | cons 0.0882 | clip 0.0000 | ETA: 6.04h (0.85 steps/s)

step 01620/20000 (8.1%) | total 0.1726 | recon 0.1572 | uni 0.2191 | cons 0.2233 | clip 0.0000 | ETA: 5.97h (0.86 steps/s)

step 01640/20000 (8.2%) | total 0.0834 | recon 0.0780 | uni 0.0781 | cons 0.0772 | clip 0.0000 | ETA: 5.90h (0.86 steps/s)

step 01660/20000 (8.3%) | total 0.1315 | recon 0.1190 | uni 0.1725 | cons 0.1915 | clip 0.0000 | ETA: 5.83h (0.87 steps/s)

step 01680/20000 (8.4%) | total 0.1723 | recon 0.1667 | uni 0.1121 | cons -0.0000 | clip 0.0000 | ETA: 5.76h (0.88 steps/s)

step 01700/20000 (8.5%) | total 0.1128 | recon 0.1074 | uni 0.0706 | cons 0.0933 | clip 0.0000 | ETA: 5.69h (0.89 steps/s)

step 01720/20000 (8.6%) | total 0.1411 | recon 0.1304 | uni 0.2126 | cons -0.0000 | clip 0.0000 | ETA: 5.63h (0.90 steps/s)

step 01740/20000 (8.7%) | total 0.1810 | recon 0.1759 | uni 0.1016 | cons -0.0000 | clip 0.0000 | ETA: 5.57h (0.91 steps/s)

step 01760/20000 (8.8%) | total 0.1056 | recon 0.1034 | uni 0.0371 | cons 0.0172 | clip 0.0000 | ETA: 5.50h (0.92 steps/s)

step 01780/20000 (8.9%) | total 0.0966 | recon 0.0869 | uni 0.1326 | cons 0.1545 | clip 0.0000 | ETA: 5.44h (0.93 steps/s)

step 01800/20000 (9.0%) | total 0.1562 | recon 0.1530 | uni 0.0644 | cons -0.0000 | clip 0.0000 | ETA: 5.39h (0.94 steps/s)

step 01820/20000 (9.1%) | total 0.0526 | recon 0.0493 | uni 0.0496 | cons 0.0443 | clip 0.0000 | ETA: 5.33h (0.95 steps/s)

step 01840/20000 (9.2%) | total 0.1085 | recon 0.1057 | uni 0.0573 | cons -0.0000 | clip 0.0000 | ETA: 5.27h (0.96 steps/s)

step 01860/20000 (9.3%) | total 0.1326 | recon 0.1299 | uni 0.0540 | cons -0.0000 | clip 0.0000 | ETA: 5.22h (0.97 steps/s)

step 01880/20000 (9.4%) | total 0.1096 | recon 0.1038 | uni 0.1155 | cons -0.0000 | clip 0.0000 | ETA: 5.16h (0.97 steps/s)

step 01900/20000 (9.5%) | total 0.1236 | recon 0.1198 | uni 0.0767 | cons -0.0000 | clip 0.0000 | ETA: 5.11h (0.98 steps/s)

step 01920/20000 (9.6%) | total 0.0600 | recon 0.0583 | uni 0.0348 | cons -0.0000 | clip 0.0000 | ETA: 5.06h (0.99 steps/s)

step 01940/20000 (9.7%) | total 0.1447 | recon 0.1406 | uni 0.0515 | cons 0.0743 | clip 0.0000 | ETA: 5.01h (1.00 steps/s)

step 01960/20000 (9.8%) | total 0.1095 | recon 0.1077 | uni 0.0354 | cons -0.0000 | clip 0.0000 | ETA: 4.96h (1.01 steps/s)

step 01980/20000 (9.9%) | total 0.0518 | recon 0.0491 | uni 0.0534 | cons -0.0000 | clip 0.0000 | ETA: 4.91h (1.02 steps/s)

step 02000/20000 (10.0%) | total 0.1540 | recon 0.1519 | uni 0.0424 | cons -0.0000 | clip 0.0000 | ETA: 4.86h (1.03 steps/s)

step 02020/20000 (10.1%) | total 0.0621 | recon 0.0592 | uni 0.0437 | cons 0.0345 | clip 0.0000 | ETA: 4.83h (1.03 steps/s)

step 02040/20000 (10.2%) | total 0.1013 | recon 0.0985 | uni 0.0507 | cons 0.0138 | clip 0.0000 | ETA: 4.78h (1.04 steps/s)

step 02060/20000 (10.3%) | total 0.1387 | recon 0.1354 | uni 0.0461 | cons 0.0495 | clip 0.0000 | ETA: 4.74h (1.05 steps/s)

step 02080/20000 (10.4%) | total 0.1028 | recon 0.1006 | uni 0.0329 | cons 0.0302 | clip 0.0000 | ETA: 4.69h (1.06 steps/s)

step 02100/20000 (10.5%) | total 0.0899 | recon 0.0884 | uni 0.0311 | cons -0.0000 | clip 0.0000 | ETA: 4.65h (1.07 steps/s)

step 02120/20000 (10.6%) | total 0.1388 | recon 0.1353 | uni 0.0392 | cons 0.0771 | clip 0.0000 | ETA: 4.61h (1.08 steps/s)

step 02140/20000 (10.7%) | total 0.0760 | recon 0.0740 | uni 0.0406 | cons -0.0000 | clip 0.0000 | ETA: 4.56h (1.09 steps/s)

step 02160/20000 (10.8%) | total 0.1200 | recon 0.1171 | uni 0.0577 | cons -0.0000 | clip 0.0000 | ETA: 4.52h (1.10 steps/s)

step 02180/20000 (10.9%) | total 0.0625 | recon 0.0561 | uni 0.0696 | cons 0.1468 | clip 0.0000 | ETA: 4.48h (1.10 steps/s)

step 02200/20000 (11.0%) | total 0.0470 | recon 0.0441 | uni 0.0583 | cons -0.0000 | clip 0.0000 | ETA: 4.44h (1.11 steps/s)

step 02220/20000 (11.1%) | total 0.0878 | recon 0.0837 | uni 0.0823 | cons -0.0000 | clip 0.0000 | ETA: 4.40h (1.12 steps/s)

step 02240/20000 (11.2%) | total 0.1357 | recon 0.1335 | uni 0.0440 | cons -0.0000 | clip 0.0000 | ETA: 4.37h (1.13 steps/s)

step 02260/20000 (11.3%) | total 0.0756 | recon 0.0728 | uni 0.0575 | cons -0.0000 | clip 0.0000 | ETA: 4.33h (1.14 steps/s)

step 02280/20000 (11.4%) | total 0.0985 | recon 0.0939 | uni 0.0327 | cons 0.1485 | clip 0.0000 | ETA: 4.29h (1.15 steps/s)

step 02300/20000 (11.5%) | total 0.1243 | recon 0.1158 | uni 0.1147 | cons 0.1415 | clip 0.0000 | ETA: 4.26h (1.16 steps/s)

step 02320/20000 (11.6%) | total 0.0974 | recon 0.0939 | uni 0.0693 | cons -0.0000 | clip 0.0000 | ETA: 4.22h (1.16 steps/s)

step 02340/20000 (11.7%) | total 0.0696 | recon 0.0590 | uni 0.1416 | cons 0.1762 | clip 0.0000 | ETA: 4.18h (1.17 steps/s)

step 02360/20000 (11.8%) | total 0.0982 | recon 0.0929 | uni 0.0494 | cons 0.1390 | clip 0.0000 | ETA: 4.15h (1.18 steps/s)

step 02380/20000 (11.9%) | total 0.0858 | recon 0.0842 | uni 0.0312 | cons -0.0000 | clip 0.0000 | ETA: 4.11h (1.19 steps/s)

step 02400/20000 (12.0%) | total 0.1014 | recon 0.0957 | uni 0.0545 | cons 0.1504 | clip 0.0000 | ETA: 4.08h (1.20 steps/s)

step 02420/20000 (12.1%) | total 0.0965 | recon 0.0868 | uni 0.1232 | cons 0.1757 | clip 0.0000 | ETA: 4.05h (1.21 steps/s)

step 02440/20000 (12.2%) | total 0.0699 | recon 0.0685 | uni 0.0269 | cons -0.0000 | clip 0.0000 | ETA: 4.02h (1.21 steps/s)

step 02460/20000 (12.3%) | total 0.0751 | recon 0.0696 | uni 0.1107 | cons -0.0000 | clip 0.0000 | ETA: 3.98h (1.22 steps/s)

step 02480/20000 (12.4%) | total 0.1083 | recon 0.1061 | uni 0.0406 | cons 0.0100 | clip 0.0000 | ETA: 3.95h (1.23 steps/s)

step 02500/20000 (12.5%) | total 0.1353 | recon 0.1337 | uni 0.0324 | cons -0.0000 | clip 0.0000 | ETA: 3.92h (1.24 steps/s)

step 02520/20000 (12.6%) | total 0.0429 | recon 0.0412 | uni 0.0349 | cons -0.0000 | clip 0.0000 | ETA: 3.89h (1.25 steps/s)

step 02540/20000 (12.7%) | total 0.0627 | recon 0.0599 | uni 0.0575 | cons -0.0000 | clip 0.0000 | ETA: 3.86h (1.26 steps/s)

step 02560/20000 (12.8%) | total 0.1005 | recon 0.0973 | uni 0.0643 | cons -0.0000 | clip 0.0000 | ETA: 3.83h (1.26 steps/s)

step 02580/20000 (12.9%) | total 0.0664 | recon 0.0634 | uni 0.0373 | cons 0.0562 | clip 0.0000 | ETA: 3.80h (1.27 steps/s)

step 02600/20000 (13.0%) | total 0.1110 | recon 0.1094 | uni 0.0260 | cons 0.0130 | clip 0.0000 | ETA: 3.78h (1.28 steps/s)

step 02620/20000 (13.1%) | total 0.1325 | recon 0.1297 | uni 0.0371 | cons 0.0465 | clip 0.0000 | ETA: 3.75h (1.29 steps/s)

step 02640/20000 (13.2%) | total 0.0703 | recon 0.0660 | uni 0.0276 | cons 0.1453 | clip 0.0000 | ETA: 3.72h (1.30 steps/s)

step 02660/20000 (13.3%) | total 0.1196 | recon 0.1107 | uni 0.1058 | cons 0.1762 | clip 0.0000 | ETA: 3.69h (1.30 steps/s)

step 02680/20000 (13.4%) | total 0.1062 | recon 0.1012 | uni 0.0993 | cons -0.0000 | clip 0.0000 | ETA: 3.67h (1.31 steps/s)

step 02700/20000 (13.5%) | total 0.0416 | recon 0.0402 | uni 0.0273 | cons -0.0000 | clip 0.0000 | ETA: 3.64h (1.32 steps/s)

step 02720/20000 (13.6%) | total 0.0765 | recon 0.0748 | uni 0.0348 | cons -0.0000 | clip 0.0000 | ETA: 3.61h (1.33 steps/s)

step 02740/20000 (13.7%) | total 0.1346 | recon 0.1332 | uni 0.0283 | cons -0.0000 | clip 0.0000 | ETA: 3.59h (1.34 steps/s)

step 02760/20000 (13.8%) | total 0.0584 | recon 0.0563 | uni 0.0276 | cons 0.0371 | clip 0.0000 | ETA: 3.56h (1.34 steps/s)

step 02780/20000 (13.9%) | total 0.0760 | recon 0.0737 | uni 0.0458 | cons -0.0000 | clip 0.0000 | ETA: 3.54h (1.35 steps/s)

step 02800/20000 (14.0%) | total 0.1268 | recon 0.1253 | uni 0.0299 | cons -0.0000 | clip 0.0000 | ETA: 3.51h (1.36 steps/s)

step 02820/20000 (14.1%) | total 0.0545 | recon 0.0519 | uni 0.0515 | cons -0.0000 | clip 0.0000 | ETA: 3.49h (1.37 steps/s)

step 02840/20000 (14.2%) | total 0.1046 | recon 0.1012 | uni 0.0683 | cons -0.0000 | clip 0.0000 | ETA: 3.46h (1.38 steps/s)

step 02860/20000 (14.3%) | total 0.0900 | recon 0.0880 | uni 0.0267 | cons 0.0321 | clip 0.0000 | ETA: 3.44h (1.38 steps/s)

step 02880/20000 (14.4%) | total 0.0807 | recon 0.0791 | uni 0.0316 | cons -0.0000 | clip 0.0000 | ETA: 3.42h (1.39 steps/s)

step 02900/20000 (14.5%) | total 0.0734 | recon 0.0722 | uni 0.0226 | cons -0.0000 | clip 0.0000 | ETA: 3.39h (1.40 steps/s)

step 02920/20000 (14.6%) | total 0.0872 | recon 0.0860 | uni 0.0242 | cons -0.0000 | clip 0.0000 | ETA: 3.37h (1.41 steps/s)

step 02940/20000 (14.7%) | total 0.0599 | recon 0.0580 | uni 0.0374 | cons -0.0000 | clip 0.0000 | ETA: 3.35h (1.42 steps/s)

step 02960/20000 (14.8%) | total 0.0530 | recon 0.0518 | uni 0.0247 | cons -0.0000 | clip 0.0000 | ETA: 3.33h (1.42 steps/s)

step 02980/20000 (14.9%) | total 0.1018 | recon 0.1002 | uni 0.0163 | cons 0.0374 | clip 0.0000 | ETA: 3.30h (1.43 steps/s)

step 03000/20000 (15.0%) | total 0.1446 | recon 0.1329 | uni 0.2334 | cons -0.0000 | clip 0.0000 | ETA: 3.28h (1.44 steps/s)

step 03020/20000 (15.1%) | total 0.0664 | recon 0.0635 | uni 0.0585 | cons -0.0000 | clip 0.0000 | ETA: 3.27h (1.44 steps/s)

step 03040/20000 (15.2%) | total 0.0526 | recon 0.0496 | uni 0.0600 | cons -0.0000 | clip 0.0000 | ETA: 3.25h (1.45 steps/s)

step 03060/20000 (15.3%) | total 0.0795 | recon 0.0770 | uni 0.0504 | cons -0.0000 | clip 0.0000 | ETA: 3.23h (1.46 steps/s)

step 03080/20000 (15.4%) | total 0.0885 | recon 0.0873 | uni 0.0241 | cons -0.0000 | clip 0.0000 | ETA: 3.21h (1.46 steps/s)

step 03100/20000 (15.5%) | total 0.0532 | recon 0.0517 | uni 0.0300 | cons -0.0000 | clip 0.0000 | ETA: 3.19h (1.47 steps/s)

step 03120/20000 (15.6%) | total 0.0950 | recon 0.0915 | uni 0.0330 | cons 0.0931 | clip 0.0000 | ETA: 3.17h (1.48 steps/s)

step 03140/20000 (15.7%) | total 0.1118 | recon 0.1102 | uni 0.0302 | cons -0.0000 | clip 0.0000 | ETA: 3.15h (1.49 steps/s)

step 03160/20000 (15.8%) | total 0.1085 | recon 0.1074 | uni 0.0212 | cons -0.0000 | clip 0.0000 | ETA: 3.13h (1.50 steps/s)

step 03180/20000 (15.9%) | total 0.0726 | recon 0.0711 | uni 0.0289 | cons -0.0000 | clip 0.0000 | ETA: 3.11h (1.50 steps/s)

step 03200/20000 (16.0%) | total 0.0872 | recon 0.0851 | uni 0.0320 | cons 0.0255 | clip 0.0000 | ETA: 3.09h (1.51 steps/s)

step 03220/20000 (16.1%) | total 0.0917 | recon 0.0907 | uni 0.0209 | cons -0.0000 | clip 0.0000 | ETA: 3.07h (1.52 steps/s)

step 03240/20000 (16.2%) | total 0.0885 | recon 0.0864 | uni 0.0202 | cons 0.0529 | clip 0.0000 | ETA: 3.05h (1.53 steps/s)

step 03260/20000 (16.3%) | total 0.1167 | recon 0.1149 | uni 0.0363 | cons -0.0000 | clip 0.0000 | ETA: 3.03h (1.53 steps/s)

step 03280/20000 (16.4%) | total 0.1154 | recon 0.1144 | uni 0.0211 | cons -0.0000 | clip 0.0000 | ETA: 3.01h (1.54 steps/s)

step 03300/20000 (16.5%) | total 0.0699 | recon 0.0677 | uni 0.0248 | cons 0.0475 | clip 0.0000 | ETA: 3.00h (1.55 steps/s)

step 03320/20000 (16.6%) | total 0.1574 | recon 0.1479 | uni 0.1639 | cons 0.0651 | clip 0.0000 | ETA: 2.98h (1.56 steps/s)

