Starting training for 20000 steps...
Output directory: ./outputs_olmoearth
W&B logging enabled - Project: alpha-earth-foundations, Run: second-2026-02-07
Training:   0%|                                                                                                                                     | 0/20000 [00:00<?, ?step/s]/root/alphaearth-foundations/src/alphaearth/training.py:165: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  self.loss_history['total'].append(float(loss))
Training:   2%|█▎                                                                                 | 319/20000 [35:46<5:51:31,  1.07s/step, recon_loss=0.0803, total_loss=0.1074]

step 00020/20000 (0.1%) | total 0.1831 | recon 0.1306 | uni 0.9967 | cons 0.1343 | clip 0.0000 | ETA: 506.29h (0.01 steps/s)
step 00860/20000 (4.3%) | total 0.0599 | recon 0.0450 | uni 0.2780 | cons 0.0534 | clip 0.0000 | ETA: 16.87h (0.32 steps/s)

step 00880/20000 (4.4%) | total 0.0696 | recon 0.0547 | uni 0.2964 | cons -0.0000 | clip 0.0000 | ETA: 16.60h (0.32 steps/s)

step 00900/20000 (4.5%) | total 0.0606 | recon 0.0469 | uni 0.2747 | cons -0.0000 | clip 0.0000 | ETA: 16.34h (0.32 steps/s)

step 00920/20000 (4.6%) | total 0.0587 | recon 0.0445 | uni 0.2835 | cons -0.0000 | clip 0.0000 | ETA: 16.09h (0.33 steps/s)

step 00940/20000 (4.7%) | total 0.0533 | recon 0.0397 | uni 0.2718 | cons -0.0000 | clip 0.0000 | ETA: 15.85h (0.33 steps/s)

step 00960/20000 (4.8%) | total 0.0530 | recon 0.0400 | uni 0.2556 | cons 0.0113 | clip 0.0000 | ETA: 15.62h (0.34 steps/s)

step 00980/20000 (4.9%) | total 0.0551 | recon 0.0410 | uni 0.2825 | cons -0.0000 | clip 0.0000 | ETA: 15.40h (0.34 steps/s)

step 01000/20000 (5.0%) | total 0.0519 | recon 0.0398 | uni 0.2426 | cons -0.0000 | clip 0.0000 | ETA: 15.19h (0.35 steps/s)

step 01020/20000 (5.1%) | total 0.0524 | recon 0.0412 | uni 0.2255 | cons -0.0000 | clip 0.0000 | ETA: 15.02h (0.35 steps/s)

step 01040/20000 (5.2%) | total 0.0485 | recon 0.0395 | uni 0.1797 | cons -0.0000 | clip 0.0000 | ETA: 14.83h (0.36 steps/s)

step 01060/20000 (5.3%) | total 0.0400 | recon 0.0314 | uni 0.1629 | cons 0.0243 | clip 0.0000 | ETA: 14.64h (0.36 steps/s)

step 01080/20000 (5.4%) | total 0.0430 | recon 0.0358 | uni 0.1430 | cons -0.0000 | clip 0.0000 | ETA: 14.46h (0.36 steps/s)

step 01100/20000 (5.5%) | total 0.0553 | recon 0.0488 | uni 0.1229 | cons 0.0197 | clip 0.0000 | ETA: 14.28h (0.37 steps/s)

step 01120/20000 (5.6%) | total 0.0532 | recon 0.0464 | uni 0.1086 | cons 0.0657 | clip 0.0000 | ETA: 14.11h (0.37 steps/s)

step 01140/20000 (5.7%) | total 0.0430 | recon 0.0382 | uni 0.0957 | cons -0.0000 | clip 0.0000 | ETA: 13.95h (0.38 steps/s)

step 01160/20000 (5.8%) | total 0.0444 | recon 0.0407 | uni 0.0739 | cons -0.0000 | clip 0.0000 | ETA: 13.79h (0.38 steps/s)

step 01180/20000 (5.9%) | total 0.0461 | recon 0.0420 | uni 0.0710 | cons 0.0267 | clip 0.0000 | ETA: 13.64h (0.38 steps/s)

step 01200/20000 (6.0%) | total 0.0449 | recon 0.0417 | uni 0.0641 | cons -0.0000 | clip 0.0000 | ETA: 13.49h (0.39 steps/s)

step 01220/20000 (6.1%) | total 0.0415 | recon 0.0360 | uni 0.0851 | cons 0.0592 | clip 0.0000 | ETA: 13.35h (0.39 steps/s)

step 01240/20000 (6.2%) | total 0.0360 | recon 0.0320 | uni 0.0682 | cons 0.0276 | clip 0.0000 | ETA: 13.21h (0.39 steps/s)

step 01260/20000 (6.3%) | total 0.0334 | recon 0.0314 | uni 0.0406 | cons -0.0000 | clip 0.0000 | ETA: 13.07h (0.40 steps/s)

step 01280/20000 (6.4%) | total 0.0421 | recon 0.0400 | uni 0.0420 | cons -0.0000 | clip 0.0000 | ETA: 12.94h (0.40 steps/s)

step 01300/20000 (6.5%) | total 0.0419 | recon 0.0394 | uni 0.0502 | cons -0.0000 | clip 0.0000 | ETA: 12.82h (0.41 steps/s)

step 01320/20000 (6.6%) | total 0.0426 | recon 0.0382 | uni 0.0612 | cons 0.0671 | clip 0.0000 | ETA: 12.69h (0.41 steps/s)

step 01340/20000 (6.7%) | total 0.0430 | recon 0.0408 | uni 0.0438 | cons -0.0000 | clip 0.0000 | ETA: 12.57h (0.41 steps/s)

step 01360/20000 (6.8%) | total 0.0444 | recon 0.0400 | uni 0.0623 | cons 0.0632 | clip 0.0000 | ETA: 12.46h (0.42 steps/s)

step 01380/20000 (6.9%) | total 0.0362 | recon 0.0333 | uni 0.0406 | cons 0.0463 | clip 0.0000 | ETA: 12.34h (0.42 steps/s)

step 01400/20000 (7.0%) | total 0.0327 | recon 0.0305 | uni 0.0446 | cons -0.0000 | clip 0.0000 | ETA: 12.23h (0.42 steps/s)

step 01420/20000 (7.1%) | total 0.0381 | recon 0.0358 | uni 0.0397 | cons 0.0154 | clip 0.0000 | ETA: 12.13h (0.43 steps/s)

step 01440/20000 (7.2%) | total 0.0383 | recon 0.0353 | uni 0.0515 | cons 0.0170 | clip 0.0000 | ETA: 12.02h (0.43 steps/s)

step 01460/20000 (7.3%) | total 0.0363 | recon 0.0339 | uni 0.0494 | cons -0.0000 | clip 0.0000 | ETA: 11.92h (0.43 steps/s)
